;global 
"Stars [1 to 5]","Stars [1 to 5]"
"Filter By:","Filter By:"
"Of","Of"
"reviews","reviews"
"Book Now","Book Now"
"Booking Not Found","Booking Not Found"
"Total Hours","Total Hours"
"Regular Price","Regular Price"
"Select Room Type","Select Room Type"
"Adults","Adults"
"Select Adults","Select Adults"
"Children","Children"
"Select Children","Select Children"
"You are booking %1 ","You are booking %1 "
"Select Options","Select Options"
"Available discount for checkout:","Available discount for checkout:"
"For reservations statring until %1 you get a %2 discount ","For reservations statring until %1 you get a %2 discount "
"For reservations stating after %1 you get a %2 discount ","For reservations stating after %1 you get a %2 discount "
"For reservations of more than %1 days you get a %2 discount ","For reservations of more than %1 days you get a %2 discount "
"for a maximum of %1 days","for a maximum of %1 days"
"Room Facilities","Room Facilities"
"Hotel Facilities","Hotel Facilities"
"Add","Add"
"Remove","Remove"
"Next","Next"
"Prev","Prev"
"Max","Max"
"Today's price","Today's price"
"Nr. rooms","Nr. rooms"
"Reservation","Reservation"
"Edit Booking","Edit Booking"
"Book Now","Book Now"
"Per Hour","Per Hour"
"Per Day","Per Day"
"AM","AM"
"PM","PM"
"Hours","Hours"
"Per Session","Per Session"
"Map","Map"
"You can not book previous day!","You can not book previous day!"
"Note : Minimum days are %1, You must pay money for %2 Days","Note : Minimum days are %1, You must pay money for %2 Days"
"Maximum days are %1, please check again","Maximum days are %1, please check again"
"Dates are not available. Please check again!","Dates are not available. Please check again!"
"Please Enter %1 value","Please Enter %1 value"
"You can not enter value lager %1 at option %2","You can not enter value lager %1 at option %2"
"Hour interval is not available, Please check again","Hour interval is not available, Please check again"
"Please check time, service start at %1 ","Please check time, service start at %1 "
"Please check time, service finish at %1 ","Please check time, service finish at %1 "
"Please check time, if you only book a day, You have to choose service finish time larger than service start time.","Please check time, if you only book a day, You have to choose service finish time larger than service start time."
"Note : Minimum Hours is %1 You must pay for %2 hours","Note : Minimum Hours is %1 You must pay for %s hours"
"Maximum Hours are %1, please check again!","Maximum Hours are %1, please check again!"
"We can't update shoping cart. Please check again","We can't update shoping cart. Please check again"
"You can't Checkout. Please check again","You can't Checkout. Please check again"
"Dates are not available. System is closed on %1","Dates are not available. System is closed on %1"
"Item not found","Item not found"
"For reservations of more than %1 %2 you get a %3 discount ","For reservations of more than %1 %2 you get a %3 discount "
"For reservations of more than %1 sessions you get a %2 discount ","For reservations of more than %1 sessions you get a %2 discount "
"From - To","From - To"
